X    f(X)    f'(X)    f''(X)    C(X)    absolute_error
0.000000000000000e+00    -5.000000000000000e-01    0.000000000000000e+00    2.500000000000000e-01    0.000000000000000e+00    0.000000000000000e+00
1.000000000000000e-03    -4.999998750000209e-01    2.499999166666745e-04    2.499997500000885e-01    -5.132829539486486e-17    5.132829539486486e-17
2.000000000000000e-03    -4.999995000003333e-01    4.999993333338801e-04    2.499990000014166e-01    -1.559130016852053e-17    1.559130016852053e-17
3.000000000000000e-03    -4.999988750016875e-01    7.499977500042733e-04    2.499977500071718e-01    -1.188751677578396e-17    1.188751677578396e-17
4.000000000000000e-03    -4.999980000053333e-01    9.999946666847603e-04    2.499960000226666e-01    -6.268273419352955e-17    6.268273419352955e-17
5.000000000000000e-03    -4.999968750130208e-01    1.249989583388622e-03    2.499937500553382e-01    -6.568643865332301e-17    6.568643865332301e-17
6.000000000000000e-03    -4.999955000269999e-01    1.499982000137640e-03    2.499910001147490e-01    -5.978830578528143e-17    5.978830578528143e-17
7.000000000000000e-03    -4.999938750500205e-01    1.749971416964219e-03    2.499877502125860e-01    -9.116819042693125e-17    9.116819042693125e-17
8.000000000000000e-03    -4.999920000853326e-01    1.999957333913514e-03    2.499840003626610e-01    -4.040662152304803e-17    4.040662152304803e-17
9.000000000000001e-03    -4.999898751366859e-01    2.249939251045555e-03    2.499797505809104e-01    6.550351979178230e-18    6.550351979178230e-18
1.000000000000000e-02    -4.999875002083304e-01    2.499916668437370e-03    2.499750008853951e-01    -1.846722099410883e-17    1.846722099410883e-17
1.100000000000000e-02    -4.999848753050156e-01    2.749889086185109e-03    2.499697512963004e-01    -4.249506245199793e-17    4.249506245199793e-17
1.200000000000000e-02    -4.999820004319912e-01    2.999856004406171e-03    2.499640018359357e-01    -4.988458857642805e-17    4.988458857642805e-17
1.300000000000000e-02    -4.999788755950066e-01    3.249816923241325e-03    2.499577525287346e-01    -1.971790386457250e-17    1.971790386457250e-17
1.400000000000001e-02    -4.999755008003111e-01    3.499771342856837e-03    2.499510034012546e-01    -1.850951998816356e-17    1.850951998816356e-17
1.500000000000001e-02    -4.999718760546539e-01    3.749718763446592e-03    2.499437544821766e-01    -4.127591883060403e-18    4.127591883060403e-18
1.600000000000001e-02    -4.999680013652838e-01    3.999658685234216e-03    2.499360058023055e-01    2.072165475183181e-17    2.072165475183181e-17
1.700000000000001e-02    -4.999638767399496e-01    4.249590608475204e-03    2.499277573945689e-01    3.276672842998122e-17    3.276672842998122e-17
1.800000000000001e-02    -4.999595021868996e-01    4.499514033459039e-03    2.499190092940178e-01    2.367502165133419e-17    2.367502165133419e-17
1.900000000000001e-02    -4.999548777148820e-01    4.749428460511316e-03    2.499097615378258e-01    7.454131972689445e-17    7.454131972689445e-17
2.000000000000001e-02    -4.999500033331444e-01    4.999333389995865e-03    2.499000141652890e-01    5.307437747090844e-17    5.307437747090844e-17
2.100000000000001e-02    -4.999448790514344e-01    5.249228322316875e-03    2.498897672178257e-01    4.355417412568681e-17    4.355417412568681e-17
2.200000000000001e-02    -4.999395048799987e-01    5.499112757921012e-03    2.498790207389761e-01    1.097581445701477e-17    1.097581445701477e-17
2.300000000000001e-02    -4.999338808295840e-01    5.748986197299543e-03    2.498677747744020e-01    3.678957018662589e-18    3.678957018662589e-18
2.400000000000001e-02    -4.999280069114360e-01    5.998848140990459e-03    2.498560293718864e-01    6.422155611454391e-18    6.422155611454391e-18
2.500000000000002e-02    -4.999218831373003e-01    6.248698089580593e-03    2.498437845813334e-01    -2.878354203603751e-17    2.878354203603751e-17
2.600000000000002e-02    -4.999155095194217e-01    6.498535543707744e-03    2.498310404547673e-01    -5.743406777987126e-17    5.743406777987126e-17
2.700000000000002e-02    -4.999088860705442e-01    6.748360004062794e-03    2.498177970463328e-01    -3.061118099814398e-19    3.061118099814398e-19
2.800000000000002e-02    -4.999020128039112e-01    6.998170971391831e-03    2.498040544122943e-01    1.573106880591755e-17    1.573106880591755e-17
2.900000000000002e-02    -4.998948897332655e-01    7.247967946498266e-03    2.497898126110354e-01    1.082714740987521e-17    1.082714740987521e-17
3.000000000000002e-02    -4.998875168728487e-01    7.497750430244953e-03    2.497750717030590e-01    4.472524764734738e-17    4.472524764734738e-17
3.100000000000002e-02    -4.998798942374018e-01    7.747517923556309e-03    2.497598317509862e-01    6.503576559997665e-17    6.503576559997665e-17
3.200000000000002e-02    -4.998720218421647e-01    7.997269927420430e-03    2.497440928195561e-01    9.965818404566972e-17    9.965818404566972e-17
3.300000000000002e-02    -4.998638997028764e-01    8.247005942891211e-03    2.497278549756254e-01    7.196487165704478e-17    7.196487165704478e-17
3.400000000000002e-02    -4.998555278357746e-01    8.496725471090462e-03    2.497111182881681e-01    9.880787852175155e-17    9.880787852175155e-17
3.500000000000002e-02    -4.998469062575962e-01    8.746428013210026e-03    2.496938828282744e-01    1.060750398314132e-16    1.060750398314132e-16
3.600000000000003e-02    -4.998380349855765e-01    8.996113070513892e-03    2.496761486691508e-01    9.353108601667050e-17    9.353108601667050e-17
3.700000000000003e-02    -4.998289140374497e-01    9.245780144340314e-03    2.496579158861192e-01    1.056981673734622e-16    1.056981673734622e-16
3.800000000000003e-02    -4.998195434314485e-01    9.495428736103930e-03    2.496391845566165e-01    7.508732468395170e-17    7.508732468395170e-17
3.900000000000003e-02    -4.998099231863044e-01    9.745058347297865e-03    2.496199547601941e-01    3.729367203039244e-17    3.729367203039244e-17
4.000000000000003e-02    -4.998000533212469e-01    9.994668479495856e-03    2.496002265785169e-01    2.434920150273109e-17    2.434920150273109e-17
4.100000000000003e-02    -4.997899338560045e-01    1.024425863435436e-02    2.495800000953635e-01    5.238059433494926e-17    5.238059433494926e-17
4.200000000000003e-02    -4.997795648108034e-01    1.049382831361468e-02    2.495592753966248e-01    9.526324596117515e-18    9.526324596117515e-18
4.300000000000003e-02    -4.997689462063685e-01    1.074337701910504e-02    2.495380525703037e-01    -2.902574484421981e-17    2.902574484421981e-17
4.400000000000003e-02    -4.997580780639225e-01    1.099290425274275e-02    2.495163317065145e-01    -2.956789307440096e-17    2.956789307440096e-17
4.500000000000003e-02    -4.997469604051863e-01    1.124240951653628e-02    2.494941128974822e-01    -7.860941348973260e-17    7.860941348973260e-17
4.600000000000003e-02    -4.997355932523787e-01    1.149189231258737e-02    2.494713962375419e-01    -3.449468103029137e-17    3.449468103029137e-17
4.700000000000003e-02    -4.997239766282163e-01    1.174135214309317e-02    2.494481818231379e-01    -2.766803398103331e-17    2.766803398103331e-17
4.800000000000004e-02    -4.997121105559136e-01    1.199078851034830e-02    2.494244697528232e-01    2.086272583375180e-17    2.086272583375180e-17
4.900000000000004e-02    -4.996999950591826e-01    1.224020091674702e-02    2.494002601272587e-01    3.234360810995401e-17    3.234360810995401e-17
5.000000000000004e-02    -4.996876301622329e-01    1.248958886478528e-02    2.493755530492124e-01    -3.293119847790264e-18    3.293119847790264e-18
5.100000000000004e-02    -4.996750158897716e-01    1.273895185706287e-02    2.493503486235589e-01    1.577715959062413e-17    1.577715959062413e-17
5.200000000000004e-02    -4.996621522670031e-01    1.298828939628548e-02    2.493246469572783e-01    2.491561667300510e-17    2.491561667300510e-17
5.300000000000004e-02    -4.996490393196291e-01    1.323760098526687e-02    2.492984481594557e-01    -2.923584978327429e-18    2.923584978327429e-18
5.400000000000004e-02    -4.996356770738484e-01    1.348688612693090e-02    2.492717523412803e-01    -8.410098097662917e-18    8.410098097662917e-18
5.500000000000004e-02    -4.996220655563567e-01    1.373614432431370e-02    2.492445596160444e-01    -7.910669923202201e-18    7.910669923202201e-18
5.600000000000004e-02    -4.996082047943468e-01    1.398537508056572e-02    2.492168700991431e-01    -5.032014881803749e-17    5.032014881803749e-17
5.700000000000004e-02    -4.995940948155082e-01    1.423457789895389e-02    2.491886839080728e-01    -5.208956671029132e-17    5.208956671029132e-17
5.800000000000004e-02    -4.995797356480270e-01    1.448375228286364e-02    2.491600011624307e-01    -9.285081673651472e-18    9.285081673651472e-18
5.900000000000005e-02    -4.995651273205861e-01    1.473289773580108e-02    2.491308219839141e-01    -4.553368000193064e-18    4.553368000193064e-18
6.000000000000005e-02    -4.995502698623646e-01    1.498201376139506e-02    2.491011464963192e-01    -9.065673249739683e-18    9.065673249739683e-18
6.100000000000005e-02    -4.995351633030379e-01    1.523109986339928e-02    2.490709748255402e-01    -6.161043906563043e-17    6.161043906563043e-17
6.200000000000005e-02    -4.995198076727777e-01    1.548015554569437e-02    2.490403070995687e-01    -1.038918085493348e-16    1.038918085493348e-16
6.300000000000004e-02    -4.995042030022517e-01    1.572918031229001e-02    2.490091434484923e-01    -8.223888187576970e-17    8.223888187576970e-17
6.400000000000004e-02    -4.994883493226236e-01    1.597817366732700e-02    2.489774840044942e-01    -9.365252263972244e-17    9.365252263972244e-17
6.500000000000004e-02    -4.994722466655528e-01    1.622713511507940e-02    2.489453289018517e-01    -7.743737514980767e-17    7.743737514980767e-17
6.600000000000004e-02    -4.994558950631944e-01    1.647606415995657e-02    2.489126782769356e-01    -5.014628521979727e-17    5.014628521979727e-17
6.700000000000005e-02    -4.994392945481990e-01    1.672496030650529e-02    2.488795322682091e-01    -2.491353697170127e-17    2.491353697170127e-17
6.800000000000005e-02    -4.994224451537126e-01    1.697382305941186e-02    2.488458910162266e-01    -5.808004732426378e-17    5.808004732426378e-17
6.900000000000005e-02    -4.994053469133765e-01    1.722265192350417e-02    2.488117546636332e-01    -9.132079468011398e-17    9.132079468011398e-17
7.000000000000005e-02    -4.993879998613269e-01    1.747144640375379e-02    2.487771233551630e-01    -5.965553699565413e-17    5.965553699565413e-17
7.100000000000005e-02    -4.993704040321952e-01    1.772020600527810e-02    2.487419972376384e-01    -7.174068413443713e-17    7.174068413443713e-17
7.200000000000005e-02    -4.993525594611075e-01    1.796893023334231e-02    2.487063764599692e-01    -5.290315547005869e-17    5.290315547005869e-17
7.300000000000005e-02    -4.993344661836845e-01    1.821761859336161e-02    2.486702611731510e-01    -4.218389378330768e-17    4.218389378330768e-17
7.400000000000005e-02    -4.993161242360416e-01    1.846627059090322e-02    2.486336515302648e-01    -3.520328021144430e-17    3.520328021144430e-17
7.500000000000005e-02    -4.992975336547883e-01    1.871488573168846e-02    2.485965476864751e-01    1.752165361350737e-17    1.752165361350737e-17
